dateSold,lotAreaValue,priceChange,zestimate,imgSrc,initialPrice,detailUrl,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,4356.0,0.0,86700.0,https://photos.zillowstatic.com/fp/839ee37ea520f6012fcba12819908f72-p_e.jpg,84900,/homedetails/223-Elliott-St-Syracuse-NY-13204/31682759_zpid/,6,-76.171684,43.034718,FOR_SALE,31682759,2323.0,0,2.0,2066,USA,USD,sqft,true,223 Elliott St,syracuse,ny,13204,84900.0,2024-03-12
,5410.152,0.0,0.0,https://photos.zillowstatic.com/fp/35fa1e0af643a9896d560921d9ac166a-p_e.jpg,136900,/homedetails/106-Pattison-St-Syracuse-NY-13203/188368773_zpid/,6,-76.12816,43.059605,FOR_SALE,188368773,2800.0,1,2.0,2496,USA,USD,sqft,true,106 Pattison St,syracuse,ny,13203,136900.0,2024-03-12
,8546.472,0.0,0.0,https://photos.zillowstatic.com/fp/3e3c73e3fd1c99ce60ed3f02dc0748ba-p_e.jpg,174900,/homedetails/2005-07-Court-St-Syracuse-NY-13208/31654544_zpid/,6,-76.14209,43.08095,FOR_SALE,31654544,0.0,1,2.0,2360,USA,USD,sqft,true,2005-07 Court St,syracuse,ny,13208,174900.0,2024-03-12
,4850.0,0.0,0.0,https://photos.zillowstatic.com/fp/a54ccc6065c44372b9638a2530bcef3c-p_e.jpg,144900,/homedetails/328-Park-St-Syracuse-NY-13203/31659543_zpid/,9,-76.138725,43.063347,FOR_SALE,31659543,0.0,0,3.0,4318,USA,USD,sqft,true,328 Park St,syracuse,ny,13203,144900.0,2024-03-12
,4538.952,0.0,0.0,https://photos.zillowstatic.com/fp/3e983aafa52fec86153b5c6d5d4c346c-p_e.jpg,199900,/homedetails/948-Emerson-Ave-Syracuse-NY-13204/31686564_zpid/,7,-76.195656,43.059654,FOR_SALE,31686564,0.0,0,3.0,3088,USA,USD,sqft,true,948 Emerson Ave,syracuse,ny,13204,199900.0,2024-03-12
,4382.136,0.0,0.0,https://photos.zillowstatic.com/fp/772fb9740c2c23b0615b9b4270fe49fa-p_e.jpg,229900,/homedetails/126-Ashdale-Ave-Syracuse-NY-13206/31662792_zpid/,5,-76.10822,43.06959,FOR_SALE,31662792,0.0,1,3.0,3111,USA,USD,sqft,true,126 Ashdale Ave,syracuse,ny,13206,229900.0,2024-03-12
,4495.392,0.0,121200.0,https://photos.zillowstatic.com/fp/9407263af6ee63978f877f39e04b0e22-p_e.jpg,130000,/homedetails/125-Forest-Ave-Syracuse-NY-13205/31677331_zpid/,5,-76.14715,43.020935,FOR_SALE,31677331,2488.0,1,2.0,1824,USA,USD,sqft,true,125 Forest Ave,syracuse,ny,13205,130000.0,2024-03-12
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/35dcce9322bc888c612c6636afbe0ef1-p_e.jpg,129900,/homedetails/391-Cortland-Ave-93-Syracuse-NY-13205/31680105_zpid/,6,-76.15335,43.03126,FOR_SALE,31680105,2882.0,1,4.0,4072,USA,USD,acres,true,391 Cortland Ave #93,syracuse,ny,13205,129900.0,2024-03-12
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/956b6ea4701f5fc91421f90cd4e1eb90-p_e.jpg,1000,/homedetails/216-Rich-St-Syracuse-NY-13204/31683201_zpid/,6,-76.16163,43.034393,FOR_SALE,31683201,2800.0,1,2.0,2484,USA,USD,,true,216 Rich St,syracuse,ny,13204,1000.0,2024-03-12
,7122.06,0.0,0.0,https://photos.zillowstatic.com/fp/ee27528b726e74a0e01fa0d152b91905-p_e.jpg,79900,/homedetails/1810-Lodi-St-Syracuse-NY-13208/31656530_zpid/,6,-76.151665,43.062828,FOR_SALE,31656530,0.0,0,2.0,2592,USA,USD,sqft,true,1810 Lodi St,syracuse,ny,13208,79900.0,2024-03-12
,4356.0,0.0,86700.0,https://photos.zillowstatic.com/fp/839ee37ea520f6012fcba12819908f72-p_e.jpg,84900,/homedetails/223-Elliott-St-Syracuse-NY-13204/31682759_zpid/,6,-76.171684,43.034718,FOR_SALE,31682759,2323.0,0,2.0,2066,USA,USD,sqft,true,223 Elliott St,syracuse,ny,13204,84900.0,2024-03-12
,5410.152,0.0,0.0,https://photos.zillowstatic.com/fp/35fa1e0af643a9896d560921d9ac166a-p_e.jpg,136900,/homedetails/106-Pattison-St-Syracuse-NY-13203/188368773_zpid/,6,-76.12816,43.059605,FOR_SALE,188368773,2800.0,1,2.0,2496,USA,USD,sqft,true,106 Pattison St,syracuse,ny,13203,136900.0,2024-03-12
,8546.472,0.0,0.0,https://photos.zillowstatic.com/fp/3e3c73e3fd1c99ce60ed3f02dc0748ba-p_e.jpg,174900,/homedetails/2005-07-Court-St-Syracuse-NY-13208/31654544_zpid/,6,-76.14209,43.08095,FOR_SALE,31654544,0.0,1,2.0,2360,USA,USD,sqft,true,2005-07 Court St,syracuse,ny,13208,174900.0,2024-03-12
,4850.0,0.0,0.0,https://photos.zillowstatic.com/fp/a54ccc6065c44372b9638a2530bcef3c-p_e.jpg,144900,/homedetails/328-Park-St-Syracuse-NY-13203/31659543_zpid/,9,-76.138725,43.063347,FOR_SALE,31659543,0.0,0,3.0,4318,USA,USD,sqft,true,328 Park St,syracuse,ny,13203,144900.0,2024-03-12
