dateSold,lotAreaValue,priceChange,zestimate,imgSrc,initialPrice,detailUrl,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,0.0,0.0,762200.0,https://photos.zillowstatic.com/fp/fd1cfbdb29cce9133b32ac75ca532cc7-p_e.jpg,739000,/homedetails/3795-Hamby-Oaks-Dr-Alpharetta-GA-30004/60947616_zpid/,4,-84.2555,34.15814,FOR_SALE,60947616,4372.0,1,3.0,4296,USA,USD,acres,true,3795 Hamby Oaks Dr,alpharetta,ga,30004,739000.0,2024-03-11
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/d8084ead583ba060cf032e5dfa1c399e-p_e.jpg,1050000,/homedetails/430-Newport-Hts-Alpharetta-GA-30005/14681512_zpid/,5,-84.21104,34.081005,FOR_SALE,14681512,0.0,1,6.0,5344,USA,USD,acres,true,430 Newport Hts,alpharetta,ga,30005,1050000.0,2024-03-11
,0.0,0.0,1172800.0,https://photos.zillowstatic.com/fp/cb46eee0221f962e796d3ce1fcc419e9-p_e.jpg,1150000,/homedetails/1725-Ridge-Oak-Pl-Alpharetta-GA-30022/55015239_zpid/,5,-84.26808,34.043034,FOR_SALE,55015239,5558.0,1,5.0,4981,USA,USD,acres,true,1725 Ridge Oak Pl,alpharetta,ga,30022,1150000.0,2024-03-11
,0.0,-20000.0,639200.0,https://photos.zillowstatic.com/fp/0be83020b7c33ab70b2c462556fa177e-p_e.jpg,670000,/homedetails/120-North-Blf-Alpharetta-GA-30004/14685850_zpid/,4,-84.33541,34.0746,FOR_SALE,14685850,3317.0,130,3.0,2866,USA,USD,acres,true,120 North Blf,alpharetta,ga,30004,650000.0,2024-03-11
,0.0,0.0,776300.0,https://photos.zillowstatic.com/fp/08f05a8f0414ee55753a55ae80c65a1c-p_e.jpg,775000,/homedetails/110-John-Christopher-Dr-Alpharetta-GA-30009/14688634_zpid/,4,-84.28694,34.08706,FOR_SALE,14688634,2728.0,1,3.0,1753,USA,USD,acres,true,110 John Christopher Dr,alpharetta,ga,30009,775000.0,2024-03-11
,0.0,-25100.0,774800.0,https://photos.zillowstatic.com/fp/1250088325a96d1817b02a277c69009e-p_e.jpg,799900,/homedetails/6815-Crofton-Dr-Alpharetta-GA-30005/54269392_zpid/,6,-84.19359,34.124218,FOR_SALE,54269392,4306.0,32,5.0,5750,USA,USD,acres,true,6815 Crofton Dr,alpharetta,ga,30005,774800.0,2024-03-11
,8581.32,0.0,868800.0,https://photos.zillowstatic.com/fp/c61da5fb038808456108df031a295f8a-p_e.jpg,849000,/homedetails/2810-Gleneagles-Pointe-Alpharetta-GA-30005/14681374_zpid/,3,-84.20902,34.087116,FOR_SALE,14681374,3628.0,1,3.0,3358,USA,USD,sqft,true,2810 Gleneagles Pointe,alpharetta,ga,30005,849000.0,2024-03-11
,0.0,0.0,813000.0,https://photos.zillowstatic.com/fp/b415625edb9985a204b47742155a8736-p_e.jpg,849000,/homedetails/4265-Courageous-Wake-Alpharetta-GA-30005/14681610_zpid/,5,-84.21086,34.07583,FOR_SALE,14681610,4969.0,125,5.0,4711,USA,USD,acres,true,4265 Courageous Wake,alpharetta,ga,30005,849000.0,2024-03-11
,0.0,0.0,908600.0,https://photos.zillowstatic.com/fp/6bd09a143f89ec4ac1a3a45bce35cf0e-p_e.jpg,899000,/homedetails/101-Jayne-Ellen-Way-Alpharetta-GA-30009/14689155_zpid/,3,-84.2846,34.081577,FOR_SALE,14689155,2400.0,1,2.0,1700,USA,USD,acres,true,101 Jayne Ellen Way,alpharetta,ga,30009,899000.0,2024-03-11
,0.0,-25000.0,890700.0,https://photos.zillowstatic.com/fp/779f1cd087534fe1b592ed044f441680-p_e.jpg,875000,/homedetails/10430-Centennial-Dr-Alpharetta-GA-30022/14648882_zpid/,5,-84.25242,34.035778,FOR_SALE,14648882,5360.0,12,6.0,0,USA,USD,acres,true,10430 Centennial Dr,alpharetta,ga,30022,850000.0,2024-03-11
,0.0,0.0,1860900.0,https://photos.zillowstatic.com/fp/f0360091da766a1e05c6114d87040d7f-p_e.jpg,1825000,/homedetails/6010-Greatwood-Ter-Alpharetta-GA-30005/35944101_zpid/,6,-84.21706,34.089153,FOR_SALE,35944101,9616.0,-1,6.0,6602,USA,USD,acres,true,6010 Greatwood Ter,alpharetta,ga,30005,1825000.0,2024-03-11
,0.0,0.0,1008600.0,https://photos.zillowstatic.com/fp/cb687bb89de79052a60fdafe855b5428-p_e.jpg,999000,/homedetails/8060-Preservation-Dr-Alpharetta-GA-30005/249120183_zpid/,5,-84.225426,34.06634,FOR_SALE,249120183,5693.0,1,4.0,4211,USA,USD,acres,true,8060 Preservation Dr,alpharetta,ga,30005,999000.0,2024-03-11
,0.0,0.0,917300.0,https://photos.zillowstatic.com/fp/343f380097561471eb396921ef7ae542-p_e.jpg,899900,/homedetails/635-Bellhaven-Point-Alpharetta-GA-30004/248581398_zpid/,5,-84.23498,34.151688,FOR_SALE,248581398,3357.0,1,4.0,3724,USA,USD,acres,true,635 Bellhaven Point,alpharetta,ga,30004,899900.0,2024-03-11
,10018.8,0.0,527900.0,https://photos.zillowstatic.com/fp/3b10df3aaec5fbbdfe8cd2c7772f418e-p_e.jpg,546000,/homedetails/4205-Pine-Vista-Blvd-Alpharetta-GA-30022/14651615_zpid/,4,-84.23561,34.05042,FOR_SALE,14651615,2525.0,40,3.0,1805,USA,USD,sqft,true,4205 Pine Vista Blvd,alpharetta,ga,30022,546000.0,2024-03-11
,0.0,0.0,772700.0,https://photos.zillowstatic.com/fp/2fee74b60bd89e4387ed628da6eeeafe-p_e.jpg,750000,/homedetails/520-Tumbling-Creek-Dr-Alpharetta-GA-30005/35817056_zpid/,4,-84.243095,34.068672,FOR_SALE,35817056,3371.0,1,4.0,3298,USA,USD,acres,true,520 Tumbling Creek Dr,alpharetta,ga,30005,750000.0,2024-03-11
,0.0,0.0,733300.0,https://photos.zillowstatic.com/fp/3da231727fad54d0b1e90013ced7e9b9-p_e.jpg,737000,/homedetails/410-Singletree-Trce-Alpharetta-GA-30004/14684672_zpid/,3,-84.348656,34.085224,FOR_SALE,14684672,3200.0,13,3.0,2765,USA,USD,acres,true,410 Singletree Trce,alpharetta,ga,30004,737000.0,2024-03-11
,9583.2,0.0,660600.0,https://photos.zillowstatic.com/fp/3ef3322d2508325b2492c360c8fef8b7-p_e.jpg,679000,/homedetails/770-Highmeade-Ter-Alpharetta-GA-30005/14650278_zpid/,4,-84.242546,34.066082,FOR_SALE,14650278,3262.0,1,4.0,3287,USA,USD,sqft,true,770 Highmeade Ter,alpharetta,ga,30005,679000.0,2024-03-11
,0.0,0.0,2220300.0,https://photos.zillowstatic.com/fp/b2ecca10ca389caa29b4a7640ff39f45-p_e.jpg,2300000,/homedetails/437-Jon-Scott-Dr-Alpharetta-GA-30009/14673322_zpid/,5,-84.29486,34.063694,FOR_SALE,14673322,7886.0,1,5.0,5325,USA,USD,acres,true,437 Jon Scott Dr,alpharetta,ga,30009,2300000.0,2024-03-11
,3659.04,0.0,1901700.0,https://photos.zillowstatic.com/fp/972b94be7f355686363d071b580988a6-p_e.jpg,1899900,/homedetails/345-Rowes-Cir-Alpharetta-GA-30009/306365137_zpid/,4,-84.290344,34.07335,FOR_SALE,306365137,6881.0,1,4.0,3586,USA,USD,sqft,true,345 Rowes Cir,alpharetta,ga,30009,1899900.0,2024-03-11
,0.0,0.0,745200.0,https://photos.zillowstatic.com/fp/c27a3add2fa1b760955514151ab44771-p_e.jpg,774999,/homedetails/181-Burnett-Way-Alpharetta-GA-30009/14687401_zpid/,4,-84.30882,34.073586,FOR_SALE,14687401,3099.0,1,3.0,2280,USA,USD,acres,true,181 Burnett Way,alpharetta,ga,30009,774999.0,2024-03-11
,0.0,-170000.0,2228300.0,https://photos.zillowstatic.com/fp/978a2ac84bb073942f4f43253a9d5fe8-p_e.jpg,2325000,/homedetails/131-Mayfield-Cir-Alpharetta-GA-30009/2058468562_zpid/,5,-84.3067,34.078945,FOR_SALE,2058468562,12451.0,1,5.0,4300,USA,USD,acres,true,131 Mayfield Cir,alpharetta,ga,30009,2155000.0,2024-03-11
,0.0,-25000.0,651300.0,https://photos.zillowstatic.com/fp/095936722d4bd0b887354e688e4926c6-p_e.jpg,675000,/homedetails/61-Denna-Pl-Alpharetta-GA-30009/14688646_zpid/,3,-84.28807,34.084774,FOR_SALE,14688646,2500.0,40,2.0,1623,USA,USD,acres,true,61 Denna Pl,alpharetta,ga,30009,650000.0,2024-03-11
,4791.6,-14900.0,678600.0,https://photos.zillowstatic.com/fp/4406fdf9c95e6aa13f38f11387e7bdf6-p_e.jpg,675000,/homedetails/6865-Counselors-Way-Alpharetta-GA-30005/118495557_zpid/,4,-84.23003,34.1037,FOR_SALE,118495557,2949.0,19,4.0,0,USA,USD,sqft,true,6865 Counselors Way,alpharetta,ga,30005,660100.0,2024-03-11
,6534.0,0.0,650500.0,https://photos.zillowstatic.com/fp/dfece60e6fe93a1b61f8dded03978c92-p_e.jpg,640000,/homedetails/4915-Brierstone-Dr-Alpharetta-GA-30004/114457553_zpid/,4,-84.22576,34.163155,FOR_SALE,114457553,2898.0,1,4.0,2520,USA,USD,sqft,true,4915 Brierstone Dr,alpharetta,ga,30004,640000.0,2024-03-11
,2962.08,0.0,1485600.0,https://photos.zillowstatic.com/fp/8c63fe8d222d7717bb914d6a589b68c1-p_e.jpg,1475000,/homedetails/2530-Brook-Run-Alpharetta-GA-30009/306364879_zpid/,3,-84.29091,34.07365,FOR_SALE,306364879,6342.0,1,4.0,0,USA,USD,sqft,true,2530 Brook Run,alpharetta,ga,30009,1475000.0,2024-03-11
,1.53,-100000.0,0.0,https://photos.zillowstatic.com/fp/9b32d4f9df1f6e6d81581f0936f84f08-p_e.jpg,2400000,/homedetails/270-Cumming-St-Alpharetta-GA-30009/283676410_zpid/,6,-84.2856,34.080395,FOR_SALE,283676410,10235.0,32,5.0,5800,USA,USD,acres,true,270 Cumming St,alpharetta,ga,30009,2300000.0,2024-03-11
,0.0,-25100.0,632300.0,https://photos.zillowstatic.com/fp/2ea2041abac27703f7e70c52a24ed9b1-p_e.jpg,649900,/homedetails/10830-Grenadier-Ln-Alpharetta-GA-30022/14650347_zpid/,4,-84.24646,34.04535,FOR_SALE,14650347,3499.0,54,4.0,2652,USA,USD,acres,true,10830 Grenadier Ln,alpharetta,ga,30022,624800.0,2024-03-11
,5671.512,0.0,537200.0,https://photos.zillowstatic.com/fp/0d6507a40adc964b2eb16a4721483132-p_e.jpg,549000,/homedetails/5695-Bridge-Pointe-Dr-Alpharetta-GA-30005/14650041_zpid/,4,-84.24678,34.065628,FOR_SALE,14650041,3496.0,1,4.0,3004,USA,USD,sqft,true,5695 Bridge Pointe Dr,alpharetta,ga,30005,549000.0,2024-03-11
,0.0,0.0,988900.0,https://photos.zillowstatic.com/fp/ad88fffb06685e326abe65edf8090ab1-p_e.jpg,1025000,/homedetails/240-Boxgrove-Rd-Alpharetta-GA-30022/55007942_zpid/,5,-84.256874,34.053925,FOR_SALE,55007942,5904.0,28,5.0,5047,USA,USD,acres,true,240 Boxgrove Rd,alpharetta,ga,30022,1025000.0,2024-03-11
,0.0,0.0,931300.0,https://photos.zillowstatic.com/fp/ca862b8e8f0647be67314931f58d619e-p_e.jpg,965000,/homedetails/185-Brighton-Cir-Alpharetta-GA-30004/14686113_zpid/,5,-84.324196,34.088043,FOR_SALE,14686113,5407.0,85,5.0,4410,USA,USD,acres,true,185 Brighton Cir,alpharetta,ga,30004,965000.0,2024-03-11
,0.0,0.0,3839000.0,https://photos.zillowstatic.com/fp/8437211aa3bb000984eec11dec48abcc-p_e.jpg,3995000,/homedetails/329-Canton-St-Alpharetta-GA-30009/14688105_zpid/,5,-84.2963,34.084553,FOR_SALE,14688105,16223.0,19,7.0,4511,USA,USD,acres,true,329 Canton St,alpharetta,ga,30009,3995000.0,2024-03-11
,0.0,0.0,762200.0,https://photos.zillowstatic.com/fp/fd1cfbdb29cce9133b32ac75ca532cc7-p_e.jpg,739000,/homedetails/3795-Hamby-Oaks-Dr-Alpharetta-GA-30004/60947616_zpid/,4,-84.2555,34.15814,FOR_SALE,60947616,4372.0,1,3.0,4296,USA,USD,acres,true,3795 Hamby Oaks Dr,alpharetta,ga,30004,739000.0,2024-03-11
,0.0,0.0,0.0,https://photos.zillowstatic.com/fp/d8084ead583ba060cf032e5dfa1c399e-p_e.jpg,1050000,/homedetails/430-Newport-Hts-Alpharetta-GA-30005/14681512_zpid/,5,-84.21104,34.081005,FOR_SALE,14681512,0.0,1,6.0,5344,USA,USD,acres,true,430 Newport Hts,alpharetta,ga,30005,1050000.0,2024-03-11
,0.0,0.0,1172800.0,https://photos.zillowstatic.com/fp/cb46eee0221f962e796d3ce1fcc419e9-p_e.jpg,1150000,/homedetails/1725-Ridge-Oak-Pl-Alpharetta-GA-30022/55015239_zpid/,5,-84.26808,34.043034,FOR_SALE,55015239,5558.0,1,5.0,4981,USA,USD,acres,true,1725 Ridge Oak Pl,alpharetta,ga,30022,1150000.0,2024-03-11
,0.0,-20000.0,639200.0,https://photos.zillowstatic.com/fp/0be83020b7c33ab70b2c462556fa177e-p_e.jpg,670000,/homedetails/120-North-Blf-Alpharetta-GA-30004/14685850_zpid/,4,-84.33541,34.0746,FOR_SALE,14685850,3317.0,130,3.0,2866,USA,USD,acres,true,120 North Blf,alpharetta,ga,30004,650000.0,2024-03-11
,0.0,0.0,776300.0,https://photos.zillowstatic.com/fp/08f05a8f0414ee55753a55ae80c65a1c-p_e.jpg,775000,/homedetails/110-John-Christopher-Dr-Alpharetta-GA-30009/14688634_zpid/,4,-84.28694,34.08706,FOR_SALE,14688634,2728.0,1,3.0,1753,USA,USD,acres,true,110 John Christopher Dr,alpharetta,ga,30009,775000.0,2024-03-11
,0.0,-25100.0,774800.0,https://photos.zillowstatic.com/fp/1250088325a96d1817b02a277c69009e-p_e.jpg,799900,/homedetails/6815-Crofton-Dr-Alpharetta-GA-30005/54269392_zpid/,6,-84.19359,34.124218,FOR_SALE,54269392,4306.0,32,5.0,5750,USA,USD,acres,true,6815 Crofton Dr,alpharetta,ga,30005,774800.0,2024-03-11
,8581.32,0.0,868800.0,https://photos.zillowstatic.com/fp/c61da5fb038808456108df031a295f8a-p_e.jpg,849000,/homedetails/2810-Gleneagles-Pointe-Alpharetta-GA-30005/14681374_zpid/,3,-84.20902,34.087116,FOR_SALE,14681374,3628.0,1,3.0,3358,USA,USD,sqft,true,2810 Gleneagles Pointe,alpharetta,ga,30005,849000.0,2024-03-11
,0.0,0.0,813000.0,https://photos.zillowstatic.com/fp/b415625edb9985a204b47742155a8736-p_e.jpg,849000,/homedetails/4265-Courageous-Wake-Alpharetta-GA-30005/14681610_zpid/,5,-84.21086,34.07583,FOR_SALE,14681610,4969.0,125,5.0,4711,USA,USD,acres,true,4265 Courageous Wake,alpharetta,ga,30005,849000.0,2024-03-11
,0.0,0.0,908600.0,https://photos.zillowstatic.com/fp/6bd09a143f89ec4ac1a3a45bce35cf0e-p_e.jpg,899000,/homedetails/101-Jayne-Ellen-Way-Alpharetta-GA-30009/14689155_zpid/,3,-84.2846,34.081577,FOR_SALE,14689155,2400.0,1,2.0,1700,USA,USD,acres,true,101 Jayne Ellen Way,alpharetta,ga,30009,899000.0,2024-03-11
,0.0,-25000.0,890700.0,https://photos.zillowstatic.com/fp/779f1cd087534fe1b592ed044f441680-p_e.jpg,875000,/homedetails/10430-Centennial-Dr-Alpharetta-GA-30022/14648882_zpid/,5,-84.25242,34.035778,FOR_SALE,14648882,5360.0,12,6.0,0,USA,USD,acres,true,10430 Centennial Dr,alpharetta,ga,30022,850000.0,2024-03-11
,0.0,0.0,1860900.0,https://photos.zillowstatic.com/fp/f0360091da766a1e05c6114d87040d7f-p_e.jpg,1825000,/homedetails/6010-Greatwood-Ter-Alpharetta-GA-30005/35944101_zpid/,6,-84.21706,34.089153,FOR_SALE,35944101,9616.0,-1,6.0,6602,USA,USD,acres,true,6010 Greatwood Ter,alpharetta,ga,30005,1825000.0,2024-03-11
,0.0,0.0,1008600.0,https://photos.zillowstatic.com/fp/cb687bb89de79052a60fdafe855b5428-p_e.jpg,999000,/homedetails/8060-Preservation-Dr-Alpharetta-GA-30005/249120183_zpid/,5,-84.225426,34.06634,FOR_SALE,249120183,5693.0,1,4.0,4211,USA,USD,acres,true,8060 Preservation Dr,alpharetta,ga,30005,999000.0,2024-03-11
,0.0,0.0,917300.0,https://photos.zillowstatic.com/fp/343f380097561471eb396921ef7ae542-p_e.jpg,899900,/homedetails/635-Bellhaven-Point-Alpharetta-GA-30004/248581398_zpid/,5,-84.23498,34.151688,FOR_SALE,248581398,3357.0,1,4.0,3724,USA,USD,acres,true,635 Bellhaven Point,alpharetta,ga,30004,899900.0,2024-03-11
,10018.8,0.0,527900.0,https://photos.zillowstatic.com/fp/3b10df3aaec5fbbdfe8cd2c7772f418e-p_e.jpg,546000,/homedetails/4205-Pine-Vista-Blvd-Alpharetta-GA-30022/14651615_zpid/,4,-84.23561,34.05042,FOR_SALE,14651615,2525.0,40,3.0,1805,USA,USD,sqft,true,4205 Pine Vista Blvd,alpharetta,ga,30022,546000.0,2024-03-11
