dateSold,lotAreaValue,priceChange,zestimate,imgSrc,initialPrice,detailUrl,bedrooms,longitude,latitude,listingStatus,zpid,rent,daysOnZillow,bathrooms,livingArea,country,currency,lotAreaUnit,hasImage,street,city,state,zip,currentPrice,loadDate
,6510.0,0.0,1705100.0,https://photos.zillowstatic.com/fp/af2c380cdd4be30ac35064168f618a88-p_e.jpg,1599000,/homedetails/5780-Herma-St-San-Jose-CA-95123/19828894_zpid/,4,-121.82364,37.246628,FOR_SALE,19828894,4435.0,1,2.0,2152,USA,USD,sqft,true,5780 Herma St,san jose,ca,95123,1599000.0,2024-03-11
,6098.0,0.0,1677600.0,https://photos.zillowstatic.com/fp/66b1baf15c2e9f2d2b99af0e29e424d6-p_e.jpg,1575000,/homedetails/368-El-Portal-Way-San-Jose-CA-95123/19824260_zpid/,3,-121.80801,37.233486,FOR_SALE,19824260,3999.0,1,2.0,1662,USA,USD,sqft,true,368 El Portal Way,san jose,ca,95123,1575000.0,2024-03-11
,6970.0,0.0,2382700.0,https://photos.zillowstatic.com/fp/35e3ccc5c9ec7190e417d4b5fa648ff5-p_e.jpg,2250000,/homedetails/1237-Collins-Ln-San-Jose-CA-95129/19649820_zpid/,4,-121.98981,37.30272,FOR_SALE,19649820,5200.0,5,3.0,1798,USA,USD,sqft,true,1237 Collins Ln,san jose,ca,95129,2250000.0,2024-03-11
,5805.0,0.0,0.0,https://photos.zillowstatic.com/fp/3e27836116c0bdafebdd66b9cb00c136-p_e.jpg,799888,/homedetails/243-N-16th-St-San-Jose-CA-95112/19709845_zpid/,2,-121.8782,37.346786,FOR_SALE,19709845,0.0,5,1.0,1033,USA,USD,sqft,true,243 N 16th St,san jose,ca,95112,799888.0,2024-03-11
,2614.0,0.0,1080200.0,https://photos.zillowstatic.com/fp/203b38a2de012f1489f17ff5319a1e4d-p_e.jpg,998500,/homedetails/4853-Rahway-Dr-San-Jose-CA-95111/19816878_zpid/,3,-121.809525,37.27146,FOR_SALE,19816878,3914.0,1,3.0,1678,USA,USD,sqft,true,4853 Rahway Dr,san jose,ca,95111,998500.0,2024-03-11
,6098.0,0.0,1205600.0,https://photos.zillowstatic.com/fp/e49fc79967b53cb39f3cf8b130747218-p_e.jpg,1149000,/homedetails/714-Albanese-Cir-San-Jose-CA-95111/19738388_zpid/,4,-121.84378,37.30717,FOR_SALE,19738388,4200.0,1,2.0,1484,USA,USD,sqft,true,714 Albanese Cir,san jose,ca,95111,1149000.0,2024-03-11
,7324.0,0.0,1619200.0,https://photos.zillowstatic.com/fp/480e97f5d5c17cba3940c037a567abf9-p_e.jpg,1490000,/homedetails/1672-Messina-Dr-San-Jose-CA-95132/19769518_zpid/,4,-121.858376,37.406345,FOR_SALE,19769518,3838.0,4,2.0,1631,USA,USD,sqft,true,1672 Messina Dr,san jose,ca,95132,1490000.0,2024-03-11
,0.0,0.0,2494000.0,https://photos.zillowstatic.com/fp/f967921c9dbdfd781c34da8ad3a3dc18-p_e.jpg,2350000,/homedetails/1801-Willow-St-San-Jose-CA-95125/19590788_zpid/,4,-121.918724,37.301167,FOR_SALE,19590788,4995.0,1,3.0,1996,USA,USD,acres,true,1801 Willow St,san jose,ca,95125,2350000.0,2024-03-11
,6098.0,0.0,894800.0,https://photos.zillowstatic.com/fp/cbf931e2ec20a039b85d6299f9fc9a4b-p_e.jpg,850000,/homedetails/1054-Chapel-Hill-Way-San-Jose-CA-95122/19714862_zpid/,3,-121.84561,37.32214,FOR_SALE,19714862,3694.0,1,2.0,1040,USA,USD,sqft,true,1054 Chapel Hill Way,san jose,ca,95122,850000.0,2024-03-11
,6970.0,0.0,1829900.0,https://photos.zillowstatic.com/fp/6037cf00ececcc6e83a43058930da09b-p_e.jpg,1698888,/homedetails/1951-Abinante-Ln-San-Jose-CA-95124/19671605_zpid/,3,-121.92816,37.270676,FOR_SALE,19671605,4498.0,1,2.0,1582,USA,USD,sqft,true,1951 Abinante Ln,san jose,ca,95124,1698888.0,2024-03-11
